round,global_accuracy
0,0.4105960264900662
1,0.6622516556291391
2,0.7549668874172185
3,0.7682119205298014
4,0.7814569536423841
5,0.7549668874172185
6,0.7682119205298014
7,0.7350993377483444
8,0.7947019867549668
9,0.7748344370860927
10,0.7748344370860927
0,0.4105960264900662
1,0.6754966887417219
2,0.7350993377483444
3,0.7549668874172185
4,0.7483443708609272
5,0.7682119205298014
6,0.7682119205298014
7,0.7814569536423841
8,0.8013245033112583
9,0.8079470198675497
10,0.8079470198675497
0,0.4105960264900662
1,0.6754966887417219
2,0.7880794701986755
3,0.7615894039735099
4,0.7615894039735099
5,0.7615894039735099
6,0.7615894039735099
7,0.7880794701986755
8,0.7947019867549668
9,0.8013245033112583
10,0.7880794701986755
0,0.2913907284768212
1,0.7218543046357616
2,0.7152317880794702
3,0.7814569536423841
4,0.7682119205298014
5,0.7549668874172185
6,0.8211920529801324
7,0.8145695364238411
8,0.8344370860927153
9,0.8145695364238411
10,0.847682119205298
