round,client_id,accuracy,loss
0,0,0.47,1.0954468202590943
0,1,0.47,1.0954468202590943
1,0,0.47,1.2916359519958496
1,1,0.47,1.2916359901428223
2,0,0.47,1.2167229533195496
2,1,0.47,1.216722846031189
3,0,0.47,1.198408076763153
3,1,0.47,1.1984084391593932
4,0,0.47,1.397517099380493
4,1,0.47,1.395726342201233
5,0,0.47,1.9835522842407227
5,1,0.47,2.0189431715011597
6,0,0.65,0.734936146736145
6,1,0.72,0.6538622570037842
7,0,0.73,0.6952330636978149
7,1,0.75,0.611712965965271
8,0,0.77,0.8443698406219482
8,1,0.77,0.5903848695755005
9,0,0.79,0.5323656463623047
9,1,0.83,0.5596210575103759
10,0,0.79,0.8590368056297302
10,1,0.71,1.3471606183052063
