round,global_accuracy
0,0.41397849462365593
1,0.6881720430107527
2,0.7580645161290323
3,0.7311827956989247
4,0.8172043010752689
5,0.8172043010752689
6,0.8494623655913979
7,0.8333333333333334
8,0.8440860215053764
9,0.8064516129032258
10,0.8333333333333334
0,0.16129032258064516
1,0.6344086021505376
2,0.7043010752688172
3,0.8010752688172043
4,0.8655913978494624
5,0.8225806451612904
6,0.8064516129032258
7,0.8333333333333334
8,0.8494623655913979
9,0.8655913978494624
10,0.8602150537634409
0,0.41397849462365593
1,0.7849462365591398
2,0.7956989247311828
3,0.8225806451612904
4,0.8279569892473119
5,0.7795698924731183
6,0.8333333333333334
7,0.8494623655913979
8,0.8440860215053764
9,0.8440860215053764
10,0.8548387096774194
0,0.41397849462365593
1,0.5376344086021505
2,0.5376344086021505
3,0.7903225806451613
4,0.8064516129032258
5,0.8387096774193549
6,0.8387096774193549
7,0.8279569892473119
8,0.8279569892473119
9,0.8494623655913979
10,0.7956989247311828
