round,loss,accuracy
0,1.1270164726054774,0.0
1,1.0681520478915325,0.46017699115044247
2,2.986164768185236,0.46017699115044247
3,2.534253753392042,0.46017699115044247
4,1.7308735130107509,0.46017699115044247
5,1.4408938990230054,0.46017699115044247
6,0.9030647277832031,0.3893805309734513
7,1.0152847323797445,0.48672566371681414
8,0.7301927752199426,0.7964601769911505
9,0.8147973592302441,0.45132743362831856
10,2.4314901976458794,0.46017699115044247
0,1.0576239729349592,0.5398230088495575
1,1.11987105513041,0.46017699115044247
2,2.378531700741928,0.46017699115044247
3,2.5710675062331476,0.46017699115044247
4,2.2946659189409915,0.46017699115044247
5,0.8977508798109747,0.46017699115044247
6,0.8617897118087363,0.45132743362831856
7,0.8781213169604276,0.504424778761062
8,1.4172050678624517,0.46017699115044247
9,1.390623312080856,0.4778761061946903
10,0.7152014791438009,0.584070796460177
0,1.115294566196678,0.46017699115044247
1,1.3756106047503716,0.46017699115044247
2,3.064354516763603,0.46017699115044247
3,1.246014181491548,0.45132743362831856
4,1.3619898230628629,0.46017699115044247
5,0.8557615533339239,0.5752212389380531
6,0.9997009176068601,0.45132743362831856
7,1.5119659457586507,0.46017699115044247
8,3.1174122633132257,0.46017699115044247
9,0.8378255303982085,0.5309734513274337
10,0.9934508230833881,0.46017699115044247
0,1.0856294209978221,0.5398230088495575
1,0.9273854736733226,0.46017699115044247
2,1.4432183999930863,0.46017699115044247
3,2.0901777216818482,0.46017699115044247
4,1.8788357287381603,0.46017699115044247
5,1.7615894722727548,0.46017699115044247
6,2.0493298758447698,0.46017699115044247
7,0.655578824271143,0.6371681415929203
8,0.6599975180836906,0.672566371681416
9,0.6033232697343405,0.6902654867256637
10,1.3028196149167761,0.4690265486725664
