round,client_id,accuracy,loss
0,0,0.42105263157894735,1.0937480801030208
0,1,0.0,1.1270164726054774
0,2,0.46621621621621623,1.0772189320744694
1,0,0.2631578947368421,1.3834859697442305
1,1,0.46017699115044247,1.0681520478915325
1,2,0.5337837837837838,1.0797131770365946
2,0,0.2631578947368421,4.362461090087891
2,1,0.46017699115044247,2.986164768185236
2,2,0.5337837837837838,3.0131991360638595
3,0,0.2631578947368421,3.309059645000257
3,1,0.46017699115044247,2.534253753392042
3,2,0.5337837837837838,2.2945253011342643
4,0,0.2631578947368421,2.005922217118113
4,1,0.46017699115044247,1.7308735130107509
4,2,0.5337837837837838,1.398329141977671
5,0,0.2631578947368421,1.5197184462296336
5,1,0.46017699115044247,1.4408938990230054
5,2,0.5472972972972973,1.0878120241938412
6,0,0.631578947368421,0.7375750039753161
6,1,0.3893805309734513,0.9030647277832031
6,2,0.8716216216216216,0.48351803985801906
7,0,0.3157894736842105,1.1733462308582507
7,1,0.48672566371681414,1.0152847323797445
7,2,0.6148648648648649,0.8076136434400404
8,0,0.6052631578947368,0.7892644028914603
8,1,0.7964601769911505,0.7301927752199426
8,2,0.5945945945945946,0.7370534072051177
9,0,0.6578947368421053,0.7643724993655556
9,1,0.45132743362831856,0.8147973592302441
9,2,0.9054054054054054,0.4887729593225428
10,0,0.2631578947368421,2.985997250205592
10,1,0.46017699115044247,2.4314901976458794
10,2,0.5337837837837838,2.0575828036746464
