round,global_accuracy
0,0.22333333333333333
1,0.48
2,0.48
3,0.48
4,0.48
5,0.48
6,0.49666666666666665
7,0.7233333333333334
8,0.7566666666666667
9,0.6866666666666666
10,0.7766666666666666
