round,global_accuracy
0,0.31
1,0.55
2,0.7133333333333334
3,0.7166666666666667
4,0.7466666666666667
5,0.7533333333333333
6,0.7933333333333333
7,0.7966666666666666
8,0.7933333333333333
9,0.8266666666666667
10,0.8333333333333334
