Model,Split,Client,Acc_with_all,Acc_without_client,Contribution
simplecnn,Label_skew,2,0.5312121212121211,0.5168181818181817,0.014393939393939403
simplecnn,Concept_shift,0,0.526060606060606,0.5095454545454546,0.01651515151515137
simplecnn,Concept_shift,1,0.526060606060606,0.5368181818181819,-0.010757575757575855
simplecnn,Concept_shift,2,0.526060606060606,0.5377272727272727,-0.011666666666666714
simplecnn,Feature_skew,0,0.5393939393939395,0.5786363636363636,-0.03924242424242408
simplecnn,Feature_skew,1,0.5393939393939395,0.5222727272727272,0.017121212121212315
simplecnn,Feature_skew,2,0.5393939393939395,0.5549999999999999,-0.015606060606060401
simplecnn,Pathological,0,1.0,0.9090909090909091,0.09090909090909094
simplecnn,Pathological,1,1.0,0.9090909090909091,0.09090909090909094
simplecnn,Pathological,2,1.0,0.9090909090909091,0.09090909090909094
simplecnn,Quantity_skew,0,0.5187878787878788,0.5025454545454546,0.01624242424242417
simplecnn,Quantity_skew,1,0.5187878787878788,0.5313636363636364,-0.012575757575757573
simplecnn,Quantity_skew,2,0.5187878787878788,0.4993939393939394,0.019393939393939408
simplecnn,IID_equal,0,0.52,0.5336363636363637,-0.013636363636363669
simplecnn,IID_equal,1,0.52,0.5509090909090909,-0.030909090909090886
simplecnn,IID_equal,2,0.52,0.49863636363636366,0.021363636363636362
simplecnn,Dirichlet_label,0,0.5183946488294314,0.5559038662486939,-0.0375092174192625
simplecnn,Dirichlet_label,1,0.5183946488294314,0.6251221896383187,-0.10672754080888724
simplecnn,Dirichlet_label,2,0.5183946488294314,0.4720048163756773,0.04638983245375411
resnet18,Label_skew,0,0.6351515151515151,0.6618181818181817,-0.026666666666666616
resnet18,Label_skew,1,0.6351515151515151,0.6431818181818182,-0.008030303030303054
resnet18,Label_skew,2,0.6351515151515151,0.6027272727272727,0.032424242424242466
resnet18,Concept_shift,0,0.6184848484848484,0.565,0.05348484848484847
resnet18,Concept_shift,1,0.6184848484848484,0.5750000000000001,0.04348484848484835
resnet18,Concept_shift,2,0.6184848484848484,0.5754545454545454,0.043030303030302974
resnet18,Feature_skew,0,0.6124242424242424,0.5663636363636364,0.046060606060606024
resnet18,Feature_skew,1,0.6124242424242424,0.6018181818181818,0.010606060606060619
resnet18,Feature_skew,2,0.6124242424242424,0.5945454545454546,0.017878787878787827
resnet18,Pathological,0,0.9090909090909091,0.9745670995670995,-0.06547619047619047
resnet18,Pathological,1,0.9090909090909091,0.9090909090909091,0.0
resnet18,Pathological,2,0.9090909090909091,0.9090909090909091,0.0
resnet18,Quantity_skew,0,0.6687878787878788,0.653090909090909,0.015696969696969765
resnet18,Quantity_skew,1,0.6687878787878788,0.6400000000000001,0.028787878787878696
resnet18,Quantity_skew,2,0.6687878787878788,0.58,0.08878787878787886
resnet18,IID_equal,0,0.5924242424242423,0.5813636363636364,0.011060606060605882
resnet18,IID_equal,1,0.5924242424242423,0.5813636363636363,0.011060606060605993
resnet18,IID_equal,2,0.5924242424242423,0.5922727272727273,0.0001515151515150137
resnet18,Dirichlet_label,0,0.5837640620249316,0.5687913618948102,0.014972700130121419
resnet18,Dirichlet_label,1,0.5837640620249316,0.6896383186705767,-0.10587425664564509
resnet18,Dirichlet_label,2,0.5837640620249316,0.5942203491872365,-0.010456287162304956
mobilenetv2,Label_skew,0,0.5596969696969697,0.5486363636363636,0.011060606060606104
mobilenetv2,Label_skew,1,0.5596969696969697,0.5618181818181819,-0.0021212121212121904
mobilenetv2,Label_skew,2,0.5596969696969697,0.5440909090909091,0.015606060606060623
mobilenetv2,Concept_shift,0,0.5512121212121212,0.5618181818181818,-0.010606060606060619
mobilenetv2,Concept_shift,1,0.5512121212121212,0.5622727272727274,-0.011060606060606215
mobilenetv2,Concept_shift,2,0.5512121212121212,0.5536363636363636,-0.00242424242424244
mobilenetv2,Feature_skew,0,0.5572727272727271,0.5422727272727272,0.014999999999999902
mobilenetv2,Feature_skew,1,0.5572727272727271,0.5431818181818181,0.014090909090909043
mobilenetv2,Feature_skew,2,0.5572727272727271,0.5422727272727272,0.014999999999999902
mobilenetv2,Pathological,0,1.0,0.9090909090909091,0.09090909090909094
mobilenetv2,Pathological,1,1.0,1.0,0.0
mobilenetv2,Pathological,2,1.0,0.9090909090909091,0.09090909090909094
mobilenetv2,Quantity_skew,0,0.5266666666666666,0.5756363636363636,-0.048969696969696996
mobilenetv2,Quantity_skew,1,0.5266666666666666,0.530909090909091,-0.004242424242424381
mobilenetv2,Quantity_skew,2,0.5266666666666666,0.5096969696969698,0.016969696969696857
mobilenetv2,IID_equal,0,0.5590909090909091,0.5499999999999999,0.00909090909090915
mobilenetv2,IID_equal,1,0.5590909090909091,0.53,0.029090909090909056
mobilenetv2,IID_equal,2,0.5590909090909091,0.5759090909090909,-0.016818181818181843
mobilenetv2,Dirichlet_label,0,0.5399817573730616,0.5722744688261929,-0.032292711453131284
mobilenetv2,Dirichlet_label,1,0.5399817573730616,0.5801564027370479,-0.040174645363986294
mobilenetv2,Dirichlet_label,2,0.5399817573730616,0.5406381697772425,-0.0006564124041809061
